,download_throughput_bps,download_throughput_bps,download_throughput_bps,download_throughput_bps,upload_throughput_bps,upload_throughput_bps,upload_throughput_bps,upload_throughput_bps,rtt_download_sec,rtt_download_sec,rtt_download_sec,rtt_download_sec,rtt_upload_sec,rtt_upload_sec,rtt_upload_sec,rtt_upload_sec,packet_loss_percent,packet_loss_percent,packet_loss_percent,packet_loss_percent
,mean,median,var,std,mean,median,var,std,mean,median,var,std,mean,median,var,std,mean,median,var,std
server,,,,,,,,,,,,,,,,,,,,
server01,642228648.6070595,761755122.155469,7.223159799243475e+16,268759368.19473803,437093211.64194083,421465715.00341594,9.676443731883334e+16,311069827.0787981,0.011294186567164176,0.011,5.20795638381921e-06,0.0022820947359431004,0.012635705223880585,0.01113999999999995,1.6157981296122222e-05,0.0040196991549271725,2.2571833080686523,1.0169397008800147,7.8540412244517,2.8025062398595475
server02,634859985.9787592,761778714.4441772,7.81349332158662e+16,279526265.6994262,440586101.7994234,431405557.9661397,1.1028554827548907e+17,332092680.2497897,0.011379414930555552,0.011,6.970919516228852e-06,0.00264024989654935,0.01130175347222221,0.0112455,0.0018001875475878123,0.04242861708314109,1.9778614016718135,0.793493264674195,8.136013012344323,2.852369718732886
server03,638431670.568167,768343383.824962,7.765861501625432e+16,278672953.50689185,448242233.5997781,451789454.1627786,1.0640024716242277e+17,326190507.46829337,0.011467220588235289,0.011,6.1006917302567215e-06,0.002469957839773125,0.012940387867647049,0.0112025,1.859734758961311e-05,0.004312464213139989,2.1300307222806887,0.8350132890160995,8.55746578589019,2.9253146473311533
server04,196583088.64971247,168405038.27634528,3.1454873225399988e+16,177355217.64357537,157250705.3429277,181915545.32250363,8205735459811588.0,90585514.62464398,0.12758722625215888,0.118385,0.0044598088121234674,0.06678180000661459,0.12912228151986183,0.118861,0.0045961626955486395,0.06779500494541349,1.9390489318594466,0.0,15.78079469296271,3.972504838633014
server05,201203719.54233354,168824051.1923665,3.350480434998622e+16,183043176.19071797,158269476.90808913,181156345.8996931,8750847773749336.0,93545966.10089254,0.12307900366972477,0.118946,0.004574045757816163,0.06763169196328125,0.12403108073394493,0.118818,0.004738276515291261,0.06883514011964573,2.7470879075993664,0.0,26.866776920477566,5.1833171734399555
server06,205373287.40045124,169563776.3130139,3.6368630144084e+16,190705611.202408,157433421.5605198,181308911.3118747,9821520408432576.0,99103584.23605362,0.12942948484848482,0.118838,0.005038334163671641,0.07098122402207249,0.12883482531194296,0.119,0.007509858852337289,0.08665944179567099,1.948610373341979,0.0,17.959345423287818,4.2378467909172715
server07,585219496.8815966,709204403.196444,1.0798345552587637e+17,328608361.923242,449144828.17851204,513251777.8942276,9.297520581292669e+16,304918359.2585509,0.02961402963160704,0.009,0.002880341019840773,0.05366880863071932,0.00764406513614521,0.005448,2.620935970843966e-05,0.005119507760365215,1.6653238872337044,0.0892457754720313,9.697489369758543,3.1140792170011578
